"Fecha1","REGION","CASOS"
2020-04-15,"CUS",1
2020-04-16,"CUS",3
2020-04-17,"CUS",11
2020-04-18,"CUS",7
2020-04-19,"CUS",0
2020-04-20,"CUS",2
2020-04-21,"CUS",15
2020-04-22,"CUS",11
2020-03-06,"PIU",0
2020-03-07,"PIU",0
2020-03-08,"PIU",0
2020-03-09,"PIU",0
2020-03-10,"PIU",0
2020-03-11,"PIU",0
2020-03-12,"PIU",0
2020-03-13,"PIU",0
2020-03-14,"PIU",2
2020-03-15,"PIU",0
2020-03-16,"PIU",0
2020-03-17,"PIU",0
2020-03-18,"PIU",0
2020-03-19,"PIU",0
2020-03-20,"PIU",16
2020-03-21,"PIU",1
2020-03-22,"PIU",0
2020-03-23,"PIU",0
2020-03-24,"PIU",0
2020-03-25,"PIU",1
2020-03-26,"PIU",0
2020-03-27,"PIU",0
2020-03-28,"PIU",1
2020-03-29,"PIU",0
2020-03-30,"PIU",0
2020-03-31,"PIU",5
2020-04-01,"PIU",1
2020-04-02,"PIU",0
2020-04-03,"PIU",0
2020-04-04,"PIU",2
2020-04-05,"PIU",1
2020-04-06,"PIU",5
2020-04-07,"PIU",6
2020-04-08,"PIU",12
2020-04-09,"PIU",15
2020-04-10,"PIU",23
2020-04-11,"PIU",13
2020-04-12,"PIU",16
2020-04-13,"PIU",104
2020-04-14,"PIU",5
2020-04-15,"PIU",4
2020-04-16,"PIU",31
2020-04-17,"PIU",80
2020-04-18,"PIU",76
2020-04-19,"PIU",16
2020-04-20,"PIU",39
2020-04-21,"PIU",39
2020-04-22,"PIU",54
2020-03-06,"LAM",0
2020-03-07,"LAM",0
2020-03-08,"LAM",0
2020-03-09,"LAM",0
2020-03-10,"LAM",0
2020-03-11,"LAM",0
2020-03-12,"LAM",0
2020-03-13,"LAM",0
2020-03-14,"LAM",1
2020-03-15,"LAM",2
2020-03-16,"LAM",3
2020-03-17,"LAM",0
2020-03-18,"LAM",0
2020-03-19,"LAM",0
2020-03-20,"LAM",2
2020-03-21,"LAM",0
2020-03-22,"LAM",0
2020-03-23,"LAM",0
2020-03-24,"LAM",4
2020-03-25,"LAM",0
2020-03-26,"LAM",1
2020-03-27,"LAM",2
2020-03-28,"LAM",7
2020-03-29,"LAM",0
2020-03-30,"LAM",8
2020-03-31,"LAM",4
2020-04-01,"LAM",0
2020-04-02,"LAM",1
2020-04-03,"LAM",23
2020-04-04,"LAM",42
2020-04-05,"LAM",0
2020-04-06,"LAM",8
2020-04-07,"LAM",138
2020-04-08,"LAM",56
2020-04-09,"LAM",0
2020-04-10,"LAM",24
2020-04-11,"LAM",29
2020-04-12,"LAM",37
2020-04-13,"LAM",35
2020-04-14,"LAM",1
2020-04-15,"LAM",143
2020-04-16,"LAM",29
2020-04-17,"LAM",42
2020-04-18,"LAM",29
2020-04-19,"LAM",4
2020-04-20,"LAM",66
2020-04-21,"LAM",123
2020-04-22,"LAM",104
2020-03-06,"CAL",0
2020-03-07,"CAL",0
2020-03-08,"CAL",0
2020-03-09,"CAL",0
2020-03-10,"CAL",0
2020-03-11,"CAL",0
2020-03-12,"CAL",0
2020-03-13,"CAL",0
2020-03-14,"CAL",0
2020-03-15,"CAL",2
2020-03-16,"CAL",0
2020-03-17,"CAL",1
2020-03-18,"CAL",0
2020-03-19,"CAL",0
2020-03-20,"CAL",0
2020-03-21,"CAL",0
2020-03-22,"CAL",1
2020-03-23,"CAL",1
2020-03-24,"CAL",2
2020-03-25,"CAL",2
2020-03-26,"CAL",0
2020-03-27,"CAL",0
2020-03-28,"CAL",5
2020-03-29,"CAL",10
2020-03-30,"CAL",1
2020-03-31,"CAL",12
2020-04-01,"CAL",17
2020-04-02,"CAL",5
2020-04-03,"CAL",5
2020-04-04,"CAL",25
2020-04-05,"CAL",20
2020-04-06,"CAL",52
2020-04-07,"CAL",159
2020-04-08,"CAL",93
2020-04-09,"CAL",52
2020-04-10,"CAL",76
2020-04-11,"CAL",55
2020-04-12,"CAL",137
2020-04-13,"CAL",175
2020-04-14,"CAL",31
2020-04-15,"CAL",69
2020-04-16,"CAL",72
2020-04-17,"CAL",100
2020-04-18,"CAL",59
2020-04-19,"CAL",43
2020-04-20,"CAL",87
2020-04-21,"CAL",47
2020-04-22,"CAL",120
2020-03-06,"LAL",0
2020-03-07,"LAL",0
2020-03-08,"LAL",0
2020-03-09,"LAL",0
2020-03-10,"LAL",0
2020-03-11,"LAL",0
2020-03-12,"LAL",0
2020-03-13,"LAL",0
2020-03-14,"LAL",0
2020-03-15,"LAL",1
2020-03-16,"LAL",0
2020-03-17,"LAL",1
2020-03-18,"LAL",0
2020-03-19,"LAL",0
2020-03-20,"LAL",2
2020-03-21,"LAL",0
2020-03-22,"LAL",0
2020-03-23,"LAL",1
2020-03-24,"LAL",1
2020-03-25,"LAL",3
2020-03-26,"LAL",0
2020-03-27,"LAL",1
2020-03-28,"LAL",2
2020-03-29,"LAL",3
2020-03-30,"LAL",4
2020-03-31,"LAL",13
2020-04-01,"LAL",7
2020-04-02,"LAL",6
2020-04-03,"LAL",5
2020-04-04,"LAL",0
2020-04-05,"LAL",6
2020-04-06,"LAL",2
2020-04-07,"LAL",24
2020-04-08,"LAL",0
2020-04-09,"LAL",19
2020-04-10,"LAL",7
2020-04-11,"LAL",2
2020-04-12,"LAL",5
2020-04-13,"LAL",51
2020-04-14,"LAL",18
2020-04-15,"LAL",9
2020-04-16,"LAL",1
2020-04-17,"LAL",17
2020-04-18,"LAL",21
2020-04-19,"LAL",21
2020-04-20,"LAL",50
2020-04-21,"LAL",15
2020-04-22,"LAL",73
2020-03-06,"ANC",0
2020-03-07,"ANC",0
2020-03-08,"ANC",0
2020-03-09,"ANC",0
2020-03-10,"ANC",0
2020-03-11,"ANC",0
2020-03-12,"ANC",0
2020-03-13,"ANC",0
2020-03-14,"ANC",0
2020-03-15,"ANC",1
2020-03-16,"ANC",0
2020-03-17,"ANC",0
2020-03-18,"ANC",1
2020-03-19,"ANC",2
2020-03-20,"ANC",0
2020-03-21,"ANC",0
2020-03-22,"ANC",0
2020-03-23,"ANC",0
2020-03-24,"ANC",1
2020-03-25,"ANC",1
2020-03-26,"ANC",0
2020-03-27,"ANC",0
2020-03-28,"ANC",0
2020-03-29,"ANC",5
2020-03-30,"ANC",0
2020-03-31,"ANC",4
2020-04-01,"ANC",0
2020-04-02,"ANC",3
2020-04-03,"ANC",0
2020-04-04,"ANC",5
2020-04-05,"ANC",4
2020-04-06,"ANC",9
2020-04-07,"ANC",14
2020-04-08,"ANC",7
2020-04-09,"ANC",10
2020-04-10,"ANC",21
2020-04-11,"ANC",14
2020-04-12,"ANC",8
2020-04-13,"ANC",14
2020-04-14,"ANC",20
2020-04-15,"ANC",27
2020-04-16,"ANC",18
2020-04-17,"ANC",28
2020-04-18,"ANC",34
2020-04-19,"ANC",24
2020-04-20,"ANC",59
2020-04-21,"ANC",18
2020-04-22,"ANC",0
2020-03-06,"LOR",0
2020-03-07,"LOR",0
2020-03-08,"LOR",0
2020-03-09,"LOR",0
2020-03-10,"LOR",0
2020-03-11,"LOR",0
2020-03-12,"LOR",0
2020-03-13,"LOR",0
2020-03-14,"LOR",0
2020-03-15,"LOR",0
2020-03-16,"LOR",1
2020-03-17,"LOR",9
2020-03-18,"LOR",1
2020-03-19,"LOR",1
2020-03-20,"LOR",2
2020-03-21,"LOR",2
2020-03-22,"LOR",0
2020-03-23,"LOR",0
2020-03-24,"LOR",2
2020-03-25,"LOR",0
2020-03-26,"LOR",5
2020-03-27,"LOR",4
2020-03-28,"LOR",25
2020-03-29,"LOR",1
2020-03-30,"LOR",5
2020-03-31,"LOR",4
2020-04-01,"LOR",10
2020-04-02,"LOR",10
2020-04-03,"LOR",24
2020-04-04,"LOR",37
2020-04-05,"LOR",28
2020-04-06,"LOR",35
2020-04-07,"LOR",84
2020-04-08,"LOR",25
2020-04-09,"LOR",0
2020-04-10,"LOR",0
2020-04-11,"LOR",7
2020-04-12,"LOR",18
2020-04-13,"LOR",17
2020-04-14,"LOR",39
2020-04-15,"LOR",16
2020-04-16,"LOR",19
2020-04-17,"LOR",54
2020-04-18,"LOR",67
2020-04-19,"LOR",33
2020-04-20,"LOR",32
2020-04-21,"LOR",36
2020-04-22,"LOR",47
2020-03-06,"SAM",0
2020-03-07,"SAM",0
2020-03-08,"SAM",0
2020-03-09,"SAM",0
2020-03-10,"SAM",0
2020-03-11,"SAM",0
2020-03-12,"SAM",0
2020-03-13,"SAM",0
2020-03-14,"SAM",0
2020-03-15,"SAM",0
2020-03-16,"SAM",0
2020-03-17,"SAM",1
2020-03-18,"SAM",0
2020-03-19,"SAM",0
2020-03-20,"SAM",0
2020-03-21,"SAM",0
2020-03-22,"SAM",0
2020-03-23,"SAM",0
2020-03-24,"SAM",0
2020-03-25,"SAM",0
2020-03-26,"SAM",0
2020-03-27,"SAM",1
2020-03-28,"SAM",2
2020-03-29,"SAM",1
2020-03-30,"SAM",1
2020-03-31,"SAM",0
2020-04-01,"SAM",0
2020-04-02,"SAM",0
2020-04-03,"SAM",2
2020-04-04,"SAM",0
2020-04-05,"SAM",0
2020-04-06,"SAM",0
2020-04-07,"SAM",3
2020-04-08,"SAM",4
2020-04-09,"SAM",3
2020-04-10,"SAM",2
2020-04-11,"SAM",3
2020-04-12,"SAM",0
2020-04-13,"SAM",0
2020-04-14,"SAM",24
2020-04-15,"SAM",0
2020-04-16,"SAM",2
2020-04-17,"SAM",32
2020-04-18,"SAM",13
2020-04-19,"SAM",0
2020-04-20,"SAM",6
2020-04-21,"SAM",7
2020-04-22,"SAM",4
2020-03-06,"MDD",0
2020-03-07,"MDD",0
2020-03-08,"MDD",0
2020-03-09,"MDD",0
2020-03-10,"MDD",0
2020-03-11,"MDD",0
2020-03-12,"MDD",0
2020-03-13,"MDD",0
2020-03-14,"MDD",0
2020-03-15,"MDD",0
2020-03-16,"MDD",0
2020-03-17,"MDD",0
2020-03-18,"MDD",1
2020-03-19,"MDD",0
2020-03-20,"MDD",0
2020-03-21,"MDD",0
2020-03-22,"MDD",0
2020-03-23,"MDD",0
2020-03-24,"MDD",0
2020-03-25,"MDD",0
2020-03-26,"MDD",0
2020-03-27,"MDD",0
2020-03-28,"MDD",0
2020-03-29,"MDD",0
2020-03-30,"MDD",0
2020-03-31,"MDD",0
2020-04-01,"MDD",1
2020-04-02,"MDD",0
2020-04-03,"MDD",0
2020-04-04,"MDD",0
2020-04-05,"MDD",0
2020-04-06,"MDD",0
2020-04-07,"MDD",0
2020-04-08,"MDD",1
2020-04-09,"MDD",0
2020-04-10,"MDD",0
2020-04-11,"MDD",0
2020-04-12,"MDD",7
2020-04-13,"MDD",9
2020-04-14,"MDD",0
2020-04-15,"MDD",0
2020-04-16,"MDD",2
2020-04-17,"MDD",0
2020-04-18,"MDD",4
2020-04-19,"MDD",39
2020-04-20,"MDD",2
2020-04-21,"MDD",5
2020-04-22,"MDD",6
2020-03-06,"JUN",0
2020-03-07,"JUN",0
2020-03-08,"JUN",0
2020-03-09,"JUN",0
2020-03-10,"JUN",0
2020-03-11,"JUN",0
2020-03-12,"JUN",0
2020-03-13,"JUN",0
2020-03-14,"JUN",0
2020-03-15,"JUN",0
2020-03-16,"JUN",0
2020-03-17,"JUN",0
2020-03-18,"JUN",0
2020-03-19,"JUN",3
2020-03-20,"JUN",7
2020-03-21,"JUN",0
2020-03-22,"JUN",0
2020-03-23,"JUN",0
2020-03-24,"JUN",1
2020-03-25,"JUN",0
2020-03-26,"JUN",1
2020-03-27,"JUN",0
2020-03-28,"JUN",1
2020-03-29,"JUN",0
2020-03-30,"JUN",4
2020-03-31,"JUN",0
2020-04-01,"JUN",2
2020-04-02,"JUN",0
2020-04-03,"JUN",6
2020-04-04,"JUN",0
2020-04-05,"JUN",3
2020-04-06,"JUN",0
2020-04-07,"JUN",14
2020-04-08,"JUN",14
2020-04-09,"JUN",0
2020-04-10,"JUN",2
2020-04-11,"JUN",6
2020-04-12,"JUN",4
2020-04-13,"JUN",0
2020-04-14,"JUN",11
2020-04-15,"JUN",0
2020-04-16,"JUN",22
2020-04-17,"JUN",29
2020-04-18,"JUN",20
2020-04-19,"JUN",5
2020-04-20,"JUN",23
2020-04-21,"JUN",28
2020-04-22,"JUN",0
2020-03-06,"TUM",0
2020-03-07,"TUM",0
2020-03-08,"TUM",0
2020-03-09,"TUM",0
2020-03-10,"TUM",0
2020-03-11,"TUM",0
2020-03-12,"TUM",0
2020-03-13,"TUM",0
2020-03-14,"TUM",0
2020-03-15,"TUM",0
2020-03-16,"TUM",0
2020-03-17,"TUM",0
2020-03-18,"TUM",0
2020-03-19,"TUM",0
2020-03-20,"TUM",0
2020-03-21,"TUM",0
2020-03-22,"TUM",0
2020-03-23,"TUM",3
2020-03-24,"TUM",0
2020-03-25,"TUM",0
2020-03-26,"TUM",2
2020-03-27,"TUM",1
2020-03-28,"TUM",2
2020-03-29,"TUM",0
2020-03-30,"TUM",2
2020-03-31,"TUM",3
2020-04-01,"TUM",2
2020-04-02,"TUM",2
2020-04-03,"TUM",3
2020-04-04,"TUM",6
2020-04-05,"TUM",0
2020-04-06,"TUM",1
2020-04-07,"TUM",0
2020-04-08,"TUM",0
2020-04-09,"TUM",0
2020-04-10,"TUM",41
2020-04-11,"TUM",1
2020-04-12,"TUM",0
2020-04-13,"TUM",0
2020-04-14,"TUM",13
2020-04-15,"TUM",3
2020-04-16,"TUM",1
2020-04-17,"TUM",0
2020-04-18,"TUM",97
2020-04-19,"TUM",1
2020-04-20,"TUM",14
2020-04-21,"TUM",7
2020-04-22,"TUM",28
2020-03-06,"CAJ",0
2020-03-07,"CAJ",0
2020-03-08,"CAJ",0
2020-03-09,"CAJ",0
2020-03-10,"CAJ",0
2020-03-11,"CAJ",0
2020-03-12,"CAJ",0
2020-03-13,"CAJ",0
2020-03-14,"CAJ",0
2020-03-15,"CAJ",0
2020-03-16,"CAJ",0
2020-03-17,"CAJ",0
2020-03-18,"CAJ",0
2020-03-19,"CAJ",0
2020-03-20,"CAJ",0
2020-03-21,"CAJ",0
2020-03-22,"CAJ",0
2020-03-23,"CAJ",0
2020-03-24,"CAJ",1
2020-03-25,"CAJ",0
2020-03-26,"CAJ",0
2020-03-27,"CAJ",0
2020-03-28,"CAJ",0
2020-03-29,"CAJ",0
2020-03-30,"CAJ",0
2020-03-31,"CAJ",1
2020-04-01,"CAJ",1
2020-04-02,"CAJ",1
2020-04-03,"CAJ",2
2020-04-04,"CAJ",0
2020-04-05,"CAJ",0
2020-04-06,"CAJ",0
2020-04-07,"CAJ",5
2020-04-08,"CAJ",0
2020-04-09,"CAJ",0
2020-04-10,"CAJ",0
2020-04-11,"CAJ",0
2020-04-12,"CAJ",0
2020-04-13,"CAJ",0
2020-04-14,"CAJ",9
2020-04-15,"CAJ",2
2020-04-16,"CAJ",16
2020-04-17,"CAJ",14
2020-04-18,"CAJ",9
2020-04-19,"CAJ",1
2020-04-20,"CAJ",11
2020-04-21,"CAJ",5
2020-04-22,"CAJ",12
2020-03-06,"PAS",0
2020-03-07,"PAS",0
2020-03-08,"PAS",0
2020-03-09,"PAS",0
2020-03-10,"PAS",0
2020-03-11,"PAS",0
2020-03-12,"PAS",0
2020-03-13,"PAS",0
2020-03-14,"PAS",0
2020-03-15,"PAS",0
2020-03-16,"PAS",0
2020-03-17,"PAS",0
2020-03-18,"PAS",0
2020-03-19,"PAS",0
2020-03-20,"PAS",0
2020-03-21,"PAS",0
2020-03-22,"PAS",0
2020-03-23,"PAS",0
2020-03-24,"PAS",0
2020-03-25,"PAS",0
2020-03-26,"PAS",1
2020-03-27,"PAS",0
2020-03-28,"PAS",0
2020-03-29,"PAS",0
2020-03-30,"PAS",0
2020-03-31,"PAS",0
2020-04-01,"PAS",0
2020-04-02,"PAS",0
2020-04-03,"PAS",1
2020-04-04,"PAS",1
2020-04-05,"PAS",2
2020-04-06,"PAS",0
2020-04-07,"PAS",0
2020-04-08,"PAS",0
2020-04-09,"PAS",3
2020-04-10,"PAS",1
2020-04-11,"PAS",2
2020-04-12,"PAS",0
2020-04-13,"PAS",0
2020-04-14,"PAS",0
2020-04-15,"PAS",0
2020-04-16,"PAS",2
2020-04-17,"PAS",0
2020-04-18,"PAS",5
2020-04-19,"PAS",14
2020-04-20,"PAS",7
2020-04-21,"PAS",7
2020-04-22,"PAS",2
2020-03-06,"TAC",0
2020-03-07,"TAC",0
2020-03-08,"TAC",0
2020-03-09,"TAC",0
2020-03-10,"TAC",0
2020-03-11,"TAC",0
2020-03-12,"TAC",0
2020-03-13,"TAC",0
2020-03-14,"TAC",0
2020-03-15,"TAC",0
2020-03-16,"TAC",0
2020-03-17,"TAC",0
2020-03-18,"TAC",0
2020-03-19,"TAC",0
2020-03-20,"TAC",0
2020-03-21,"TAC",0
2020-03-22,"TAC",0
2020-03-23,"TAC",0
2020-03-24,"TAC",0
2020-03-25,"TAC",0
2020-03-26,"TAC",0
2020-03-27,"TAC",0
2020-03-28,"TAC",1
2020-03-29,"TAC",0
2020-03-30,"TAC",1
2020-03-31,"TAC",1
2020-04-01,"TAC",0
2020-04-02,"TAC",0
2020-04-03,"TAC",0
2020-04-04,"TAC",6
2020-04-05,"TAC",0
2020-04-06,"TAC",0
2020-04-07,"TAC",0
2020-04-08,"TAC",0
2020-04-09,"TAC",0
2020-04-10,"TAC",0
2020-04-11,"TAC",0
2020-04-12,"TAC",0
2020-04-13,"TAC",0
2020-04-14,"TAC",1
2020-04-15,"TAC",4
2020-04-16,"TAC",6
2020-04-17,"TAC",8
2020-04-18,"TAC",7
2020-04-19,"TAC",0
2020-04-20,"TAC",7
2020-04-21,"TAC",2
2020-04-22,"TAC",6
2020-03-06,"AYA",0
2020-03-07,"AYA",0
2020-03-08,"AYA",0
2020-03-09,"AYA",0
2020-03-10,"AYA",0
2020-03-11,"AYA",0
2020-03-12,"AYA",0
2020-03-13,"AYA",0
2020-03-14,"AYA",0
2020-03-15,"AYA",0
2020-03-16,"AYA",0
2020-03-17,"AYA",0
2020-03-18,"AYA",0
2020-03-19,"AYA",0
2020-03-20,"AYA",0
2020-03-21,"AYA",0
2020-03-22,"AYA",0
2020-03-23,"AYA",0
2020-03-24,"AYA",0
2020-03-25,"AYA",0
2020-03-26,"AYA",0
2020-03-27,"AYA",0
2020-03-28,"AYA",1
2020-03-29,"AYA",0
2020-03-30,"AYA",0
2020-03-31,"AYA",0
2020-04-01,"AYA",0
2020-04-02,"AYA",0
2020-04-03,"AYA",0
2020-04-04,"AYA",2
2020-04-05,"AYA",2
2020-04-06,"AYA",0
2020-04-07,"AYA",0
2020-04-08,"AYA",2
2020-04-09,"AYA",2
2020-04-10,"AYA",2
2020-04-11,"AYA",0
2020-04-12,"AYA",0
2020-04-13,"AYA",4
2020-04-14,"AYA",7
2020-04-15,"AYA",1
2020-04-16,"AYA",0
2020-04-17,"AYA",6
2020-04-18,"AYA",4
2020-04-19,"AYA",2
2020-04-20,"AYA",3
2020-04-21,"AYA",0
2020-04-22,"AYA",1
2020-03-06,"HUA",0
2020-03-07,"HUA",0
2020-03-08,"HUA",0
2020-03-09,"HUA",0
2020-03-10,"HUA",0
2020-03-11,"HUA",0
2020-03-12,"HUA",0
2020-03-13,"HUA",0
2020-03-14,"HUA",0
2020-03-15,"HUA",0
2020-03-16,"HUA",0
2020-03-17,"HUA",0
2020-03-18,"HUA",0
2020-03-19,"HUA",0
2020-03-20,"HUA",0
2020-03-21,"HUA",0
2020-03-22,"HUA",0
2020-03-23,"HUA",0
2020-03-24,"HUA",0
2020-03-25,"HUA",0
2020-03-26,"HUA",0
2020-03-27,"HUA",0
2020-03-28,"HUA",0
2020-03-29,"HUA",0
2020-03-30,"HUA",0
2020-03-31,"HUA",1
2020-04-01,"HUA",0
2020-04-02,"HUA",0
2020-04-03,"HUA",0
2020-04-04,"HUA",0
2020-04-05,"HUA",1
2020-04-06,"HUA",5
2020-04-07,"HUA",0
2020-04-08,"HUA",0
2020-04-09,"HUA",0
2020-04-10,"HUA",0
2020-04-11,"HUA",2
2020-04-12,"HUA",1
2020-04-13,"HUA",0
2020-04-14,"HUA",1
2020-04-15,"HUA",0
2020-04-16,"HUA",5
2020-04-17,"HUA",0
2020-04-18,"HUA",0
2020-04-19,"HUA",0
2020-04-20,"HUA",0
2020-04-21,"HUA",3
2020-04-22,"HUA",2
2020-03-06,"APU",0
2020-03-07,"APU",0
2020-03-08,"APU",0
2020-03-09,"APU",0
2020-03-10,"APU",0
2020-03-11,"APU",0
2020-03-12,"APU",0
2020-03-13,"APU",0
2020-03-14,"APU",0
2020-03-15,"APU",0
2020-03-16,"APU",0
2020-03-17,"APU",0
2020-03-18,"APU",0
2020-03-19,"APU",0
2020-03-20,"APU",0
2020-03-21,"APU",0
2020-03-22,"APU",0
2020-03-23,"APU",0
2020-03-24,"APU",0
2020-03-25,"APU",0
2020-03-26,"APU",0
2020-03-27,"APU",0
2020-03-28,"APU",0
2020-03-29,"APU",0
2020-03-30,"APU",0
2020-03-31,"APU",0
2020-04-01,"APU",1
2020-04-02,"APU",0
2020-04-03,"APU",0
2020-04-04,"APU",0
2020-04-05,"APU",0
2020-04-06,"APU",0
2020-04-07,"APU",0
2020-04-08,"APU",0
2020-04-09,"APU",2
2020-04-10,"APU",0
